"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-01","1944","07","01","","25.0","","11.1","","18.1","","0.0","","0.1","","0.0","","0.0","","0.0","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-02","1944","07","02","","23.9","","8.3","","16.1","","1.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-03","1944","07","03","","24.4","","8.9","","16.7","","1.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-04","1944","07","04","","17.8","","12.8","","15.3","","2.7","","0.0","","4.1","","0.0","","4.1","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-05","1944","07","05","","22.2","","13.3","","17.8","","0.2","","0.0","","1.0","","0.0","","1.0","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-06","1944","07","06","","22.2","","13.9","","18.1","","0.0","","0.1","","5.8","","0.0","","5.8","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-07","1944","07","07","","24.4","","13.3","","18.9","","0.0","","0.9","","1.0","","0.0","","1.0","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-08","1944","07","08","","23.3","","13.3","","18.3","","0.0","","0.3","","0.0","","0.0","","0.0","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-09","1944","07","09","","22.2","","5.6","","13.9","","4.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-10","1944","07","10","","23.3","","6.1","","14.7","","3.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-11","1944","07","11","","18.3","","10.6","","14.5","","3.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-12","1944","07","12","","13.9","","12.8","","13.4","","4.6","","0.0","","1.8","","0.0","","1.8","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-13","1944","07","13","","22.2","","4.4","","13.3","","4.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-14","1944","07","14","","18.3","","10.0","","14.2","","3.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-15","1944","07","15","","17.8","","10.6","","14.2","","3.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-16","1944","07","16","","21.7","","4.4","","13.1","","4.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-17","1944","07","17","","18.9","","6.7","","12.8","","5.2","","0.0","","8.1","","0.0","","8.1","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-18","1944","07","18","","13.9","","11.1","","12.5","","5.5","","0.0","","21.1","","0.0","","21.1","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-19","1944","07","19","","12.8","","9.4","","11.1","","6.9","","0.0","","6.9","","0.0","","6.9","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-20","1944","07","20","","16.7","","5.6","","11.2","","6.8","","0.0","","0.5","","0.0","","0.5","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-21","1944","07","21","","23.9","","10.0","","17.0","","1.0","","0.0","","1.3","","0.0","","1.3","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-22","1944","07","22","","27.2","","15.6","","21.4","","0.0","","3.4","","0.8","","0.0","","0.8","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-23","1944","07","23","","15.6","","12.8","","14.2","","3.8","","0.0","","5.3","","0.0","","5.3","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-24","1944","07","24","","15.6","","11.1","","13.4","","4.6","","0.0","","0.5","","0.0","","0.5","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-25","1944","07","25","","27.8","","11.1","","19.5","","0.0","","1.5","","0.5","","0.0","","0.5","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-26","1944","07","26","","23.9","","11.1","","17.5","","0.5","","0.0","","1.8","","0.0","","1.8","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-27","1944","07","27","","16.1","","15.0","","15.6","","2.4","","0.0","","44.5","","0.0","","44.5","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-28","1944","07","28","","15.6","","11.7","","13.7","","4.3","","0.0","","9.7","","0.0","","9.7","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-29","1944","07","29","","19.4","","11.1","","15.3","","2.7","","0.0","","4.8","","0.0","","4.8","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-30","1944","07","30","","26.7","","12.8","","19.8","","0.0","","1.8","","0.0","","0.0","","0.0","","","","","","",""
"-88.35","49.15","CAMERON FALLS","6041109","1944-07-31","1944","07","31","","23.9","","13.9","","18.9","","0.0","","0.9","","0.0","","0.0","","0.0","","","","","","",""
